"Subject" "Label" "Mean average" "SD average"
19 1 -0.201882439219989 0.924141951940038
19 3 -0.0389518460774084 0.951945626811579
19 2 -0.278395466034168 0.938665996947317
21 5 -0.590001012770033 1.07947763105067
21 4 -0.598029201933036 1.07436309502893
21 6 -0.580909443778578 1.09668109180663
21 1 -0.290397733932104 1.01197756956896
21 3 -0.247638380733286 1.02443028305468
21 2 -0.339757531821394 1.02240032519363
22 5 -0.585775426300499 1.11609563409537
22 4 -0.585582152180725 1.108871096668
22 6 -0.58013000836966 1.12751246786197
22 1 -0.232374340625667 1.04637329393195
22 3 -0.242237963946939 1.06227854044357
22 2 -0.261472606722201 1.05449626947848
23 5 -0.585027635350905 1.15286180318903
23 4 -0.582638057342075 1.15042895777456
23 6 -0.574348480790335 1.17127438395991
23 1 -0.221725504908586 1.08573672092239
23 3 -0.1555651303695 1.08755979793196
23 2 -0.323863439363893 1.09416423791488
25 5 -0.589719627657804 1.22565917929847
25 4 -0.591505309608633 1.22072144394495
25 6 -0.532350369194096 1.23931278742412
25 1 -0.413023855351601 1.17780560067212
25 3 -0.378663577811685 1.18282225922804
25 2 -0.435830129399563 1.18597601490889
26 5 -0.586654619921442 1.26511254624419
26 4 -0.587149349031972 1.25976788072434
26 6 -0.581565572323671 1.27844988214649
26 1 -0.342658813268521 1.20663358637565
26 3 -0.269817801559966 1.21129263816347
26 2 -0.36047678675896 1.21602217491311
27 5 -0.585228836630976 1.30320126398722
27 4 -0.58996807402064 1.29593998955221
27 6 -0.585084256603606 1.31356786131446
27 1 -0.326695708072456 1.24627697474555
27 3 -0.258050228798875 1.25228269245807
27 2 -0.373243012756295 1.25786013520303
28 5 -0.567038467385205 1.33433363605475
28 4 -0.57822013743181 1.32936261272141
28 6 -0.577852569260915 1.34728617588227
28 1 -0.340878597137428 1.28590735525565
28 3 -0.235552650039141 1.28593903865071
28 2 -0.346382156111895 1.29076391988966
29 5 -0.587544585160247 1.37975824383806
29 4 -0.583198058052983 1.37451532538959
29 6 -0.581861733659928 1.39174277477029
29 1 -0.298355352131587 1.32060532618644
29 3 -0.259297381591968 1.32768449703713
29 2 -0.308072980894835 1.33247399470181
30 5 -0.566228222602102 1.4139521335267
30 4 -0.583332225521263 1.41019164659579
30 6 -0.576399274427097 1.42263701659677
30 1 -0.317218154591687 1.36069383703026
30 3 -0.298901476123713 1.36802503215336
30 2 -0.38097154464562 1.37647398800148
